GICS Sector,Symbol
Industrials,MMM
Health Care,ABT
Health Care,ABBV
Health Care,ABMD
Information Technology,ACN
Communication Services,ATVI
Information Technology,ADBE
Information Technology,AMD
Consumer Discretionary,AAP
Utilities,AES
Financials,AFL
Health Care,A
Materials,APD
Information Technology,AKAM
Industrials,ALK
Materials,ALB
Real Estate,ARE
Health Care,ALXN
Health Care,ALGN
Industrials,ALLE
Utilities,LNT
Financials,ALL
Communication Services,GOOGL
Communication Services,GOOG
Consumer Staples,MO
Consumer Discretionary,AMZN
Materials,AMCR
Utilities,AEE
Industrials,AAL
Utilities,AEP
Financials,AXP
Financials,AIG
Real Estate,AMT
Utilities,AWK
Financials,AMP
Health Care,ABC
Industrials,AME
Health Care,AMGN
Information Technology,APH
Information Technology,ADI
Information Technology,ANSS
Health Care,ANTM
Financials,AON
Industrials,AOS
Energy,APA
Real Estate,AIV
Information Technology,AAPL
Information Technology,AMAT
Consumer Discretionary,APTV
Consumer Staples,ADM
Information Technology,ANET
Financials,AJG
Financials,AIZ
Communication Services,T
Utilities,ATO
Information Technology,ADSK
Information Technology,ADP
Consumer Discretionary,AZO
Real Estate,AVB
Materials,AVY
Energy,BKR
Materials,BLL
Financials,BAC
Financials,BK
Health Care,BAX
Health Care,BDX
Financials,BRK.B
Consumer Discretionary,BBY
Health Care,BIO
Health Care,BIIB
Financials,BLK
Industrials,BA
Consumer Discretionary,BKNG
Consumer Discretionary,BWA
Real Estate,BXP
Health Care,BSX
Health Care,BMY
Information Technology,AVGO
Information Technology,BR
Consumer Staples,BF.B
Industrials,CHRW
Energy,COG
Information Technology,CDNS
Consumer Staples,CPB
Financials,COF
Health Care,CAH
Consumer Discretionary,KMX
Consumer Discretionary,CCL
Industrials,CARR
Health Care,CTLT
Industrials,CAT
Financials,CBOE
Real Estate,CBRE
Information Technology,CDW
Materials,CE
Health Care,CNC
Utilities,CNP
Health Care,CERN
Materials,CF
Financials,SCHW
Communication Services,CHTR
Energy,CVX
Consumer Discretionary,CMG
Financials,CB
Consumer Staples,CHD
Health Care,CI
Financials,CINF
Industrials,CTAS
Information Technology,CSCO
Financials,C
Financials,CFG
Information Technology,CTXS
Consumer Staples,CLX
Financials,CME
Utilities,CMS
Consumer Staples,KO
Information Technology,CTSH
Consumer Staples,CL
Communication Services,CMCSA
Financials,CMA
Consumer Staples,CAG
Energy,CXO
Energy,COP
Utilities,ED
Consumer Staples,STZ
Health Care,COO
Industrials,CPRT
Information Technology,GLW
Materials,CTVA
Consumer Staples,COST
Real Estate,CCI
Industrials,CSX
Industrials,CMI
Health Care,CVS
Consumer Discretionary,DHI
Health Care,DHR
Consumer Discretionary,DRI
Health Care,DVA
Industrials,DE
Industrials,DAL
Health Care,XRAY
Energy,DVN
Health Care,DXCM
Energy,FANG
Real Estate,DLR
Financials,DFS
Communication Services,DISCA
Communication Services,DISCK
Communication Services,DISH
Consumer Discretionary,DG
Consumer Discretionary,DLTR
Utilities,D
Consumer Discretionary,DPZ
Industrials,DOV
Materials,DOW
Utilities,DTE
Utilities,DUK
Real Estate,DRE
Materials,DD
Information Technology,DXC
Materials,EMN
Industrials,ETN
Consumer Discretionary,EBAY
Materials,ECL
Utilities,EIX
Health Care,EW
Communication Services,EA
Industrials,EMR
Utilities,ETR
Energy,EOG
Industrials,EFX
Real Estate,EQIX
Real Estate,EQR
Real Estate,ESS
Consumer Staples,EL
Consumer Discretionary,ETSY
Utilities,EVRG
Utilities,ES
Financials,RE
Utilities,EXC
Consumer Discretionary,EXPE
Industrials,EXPD
Real Estate,EXR
Energy,XOM
Information Technology,FFIV
Communication Services,FB
Industrials,FAST
Real Estate,FRT
Industrials,FDX
Information Technology,FIS
Financials,FITB
Utilities,FE
Financials,FRC
Information Technology,FISV
Information Technology,FLT
Information Technology,FLIR
Industrials,FLS
